ALGORITHM,N,TIME_MS,COMPARISONS,SWAPS,ARRAY_ACCESSES,MEMORY_ALLOCATIONS,RECURSION_DEPTH
shell-knuth,100,1,671,376,2107,0,0
shell-knuth,100,0,755,466,2371,0,0
shell-knuth,100,0,762,468,2382,0,0
shell-knuth,100,0,737,441,2303,0,0
shell-knuth,100,0,769,474,2401,0,0
ALGORITHM,N,TIME_MS,COMPARISONS,SWAPS,ARRAY_ACCESSES,MEMORY_ALLOCATIONS,RECURSION_DEPTH
shell-knuth,1000,3,13795,8792,42293,0,0
shell-knuth,1000,1,13742,8704,42064,0,0
shell-knuth,1000,1,13815,8805,42339,0,0
shell-knuth,1000,1,13204,8188,40494,0,0
shell-knuth,1000,1,13509,8481,41385,0,0
